diseaseID,featureID,operation,groupType
disease_911063ec,feature_8e3ffad7,diagnose,different
disease_86446241,feature_e406cf7c,diagnose,similar
disease_86446241,feature_793d5ea5,diagnose,similar
disease_86446241,feature_c9de6d45,diagnose,similar
disease_86446241,feature_c3bb6ace,diagnose,similar
disease_86446241,feature_3c896218,diagnose,different
disease_86446241,feature_f1ca3ce6,diagnose,different
disease_86446241,feature_9fa13840,diagnose,different
disease_86446241,feature_ac4dba5b,diagnose,different
disease_86446241,feature_18c564fb,diagnose,different
disease_86446241,feature_55350eca,diagnose,different
disease_86446241,feature_e7d2c555,diagnose,different
disease_86446241,feature_80865b55,diagnose,different
disease_86446241,feature_9d148241,diagnose,different
disease_3e428120,feature_1cee70e9,diagnose,similar
disease_3e428120,feature_8a36ab77,diagnose,similar
disease_3e428120,feature_c3bb6ace,diagnose,similar
disease_3e428120,feature_7bcc15f4,diagnose,different
disease_3e428120,feature_cfbe16d0,diagnose,different
disease_3e428120,feature_d7aa06dd,diagnose,different
disease_3e428120,feature_eab2a369,diagnose,different
disease_3e428120,feature_7b3465fe,diagnose,different
disease_3e428120,feature_987d1bd1,diagnose,different
disease_3e428120,feature_ac53d31c,diagnose,different
disease_3e428120,feature_c85a110a,diagnose,different
disease_3e428120,feature_e8b9e9b8,diagnose,different
disease_669976c6,feature_3ace333f,diagnose,similar
disease_669976c6,feature_20235269,diagnose,similar
disease_669976c6,feature_c9de6d45,diagnose,similar
disease_669976c6,feature_94680753,diagnose,similar
disease_669976c6,feature_360d2193,diagnose,similar
disease_669976c6,feature_32b072d0,diagnose,different
disease_669976c6,feature_bf3e453e,diagnose,different
disease_669976c6,feature_3a8196c7,diagnose,different
disease_669976c6,feature_2b307ee9,diagnose,different
disease_669976c6,feature_059ac401,diagnose,different
disease_669976c6,feature_0f41a6ff,diagnose,different
disease_669976c6,feature_b671cd27,diagnose,different
