disease,disease_type,group_type,feature,feature_type
鸡白痢,引起肠炎、下痢的疾病,different,慢性可见肝,symptom
鸡白痢,引起肠炎、下痢的疾病,different,心有灰白色坏死点,pathology
鸡白痢,引起肠炎、下痢的疾病,different,有时一侧盲肠内容物凝固,pathology
鸡白痢,引起肠炎、下痢的疾病,different,肠壁增厚,other
鸡白痢,引起肠炎、下痢的疾病,different,成鸡,other
鸡白痢,引起肠炎、下痢的疾病,different,青年鸡多呈隐性感染,age_feature
鸡白痢,引起肠炎、下痢的疾病,different,卵泡萎缩,other
鸡白痢,引起肠炎、下痢的疾病,different,出血,symptom
鸡白痢,引起肠炎、下痢的疾病,different,变形,other
鸡白痢,引起肠炎、下痢的疾病,different,有时脱落,other
鸡白痢,引起肠炎、下痢的疾病,different,破裂引起腹膜炎,other
鸡伤寒,引起肠炎、下痢的疾病,similar,黄绿色稀便,other
鸡伤寒,引起肠炎、下痢的疾病,different,多见于育成鸡,age_feature
鸡伤寒,引起肠炎、下痢的疾病,different,肾脏肿大为正常2-4倍,pathology
鸡伤寒,引起肠炎、下痢的疾病,different,肝脾呈青铜色,other
鸡伤寒,引起肠炎、下痢的疾病,different,有黄白色坏死点,pathology
鸡伤寒,引起肠炎、下痢的疾病,different,卵泡充血,other
鸡伤寒,引起肠炎、下痢的疾病,different,出血,symptom
鸡伤寒,引起肠炎、下痢的疾病,different,有的破裂,other
溃疡性肠炎,引起肠炎、下痢的疾病,similar,白色,other
溃疡性肠炎,引起肠炎、下痢的疾病,similar,黄绿色,other
溃疡性肠炎,引起肠炎、下痢的疾病,similar,淡红色水样带粘液,other
溃疡性肠炎,引起肠炎、下痢的疾病,similar,气泡样下痢,other
溃疡性肠炎,引起肠炎、下痢的疾病,different,小肠,other
溃疡性肠炎,引起肠炎、下痢的疾病,different,盲肠有大量圆形溃疡灶,pathology
溃疡性肠炎,引起肠炎、下痢的疾病,different,中心凹陷,other
溃疡性肠炎,引起肠炎、下痢的疾病,different,有时发生穿孔,other
溃疡性肠炎,引起肠炎、下痢的疾病,different,肝脏黄色,pathology
溃疡性肠炎,引起肠炎、下痢的疾病,different,灰色圆形小病灶,other
溃疡性肠炎,引起肠炎、下痢的疾病,different,大片不规则坏死区,pathology
鸡新城疫,引起呼吸困难的疾病,similar,伸颈呼吸,other
鸡新城疫,引起呼吸困难的疾病,similar,咳嗽,other
鸡新城疫,引起呼吸困难的疾病,similar,甩头,other
鸡新城疫,引起呼吸困难的疾病,different,呼噜,other
鸡新城疫,引起呼吸困难的疾病,different,斜颈歪头,other
鸡新城疫,引起呼吸困难的疾病,different,翼麻痹,symptom
鸡新城疫,引起呼吸困难的疾病,different,产蛋下降,other
鸡新城疫,引起呼吸困难的疾病,different,剖检仅见喉头,pathology
鸡新城疫,引起呼吸困难的疾病,different,气管有粘液,other
鸡新城疫,引起呼吸困难的疾病,different,气管粘膜增厚环状出血,symptom
鸡新城疫,引起呼吸困难的疾病,different,脑有出血点,symptom
鸡传染性鼻炎,引起呼吸困难的疾病,similar,甩鼻,other
鸡传染性鼻炎,引起呼吸困难的疾病,similar,打喷嚏,other
鸡传染性鼻炎,引起呼吸困难的疾病,similar,呼吸困难,symptom
鸡传染性鼻炎,引起呼吸困难的疾病,different,发病率高,epidemiology
鸡传染性鼻炎,引起呼吸困难的疾病,different,死亡率低,epidemiology
鸡传染性鼻炎,引起呼吸困难的疾病,different,鼻塞症状明显,symptom
鸡传染性鼻炎,引起呼吸困难的疾病,different,主要表现流鼻液,symptom
鸡传染性鼻炎,引起呼吸困难的疾病,different,流泪,symptom
鸡传染性鼻炎,引起呼吸困难的疾病,different,剖检鼻腔,pathology
鸡传染性鼻炎,引起呼吸困难的疾病,different,鼻窦粘膜红肿,other
鸡传染性鼻炎,引起呼吸困难的疾病,different,黄色干酪样物质,other
鸡传染性鼻炎,引起呼吸困难的疾病,different,脸肿但软,other
鸡败血霉形体病,引起呼吸困难的疾病,similar,喷嚏,other
鸡败血霉形体病,引起呼吸困难的疾病,similar,呼吸啰音,other
鸡败血霉形体病,引起呼吸困难的疾病,different,呼吸有罗音,other
鸡败血霉形体病,引起呼吸困难的疾病,different,眼角流泡沫样液体,other
鸡败血霉形体病,引起呼吸困难的疾病,different,气囊增厚,pathology
鸡败血霉形体病,引起呼吸困难的疾病,different,浑浊,other
鸡败血霉形体病,引起呼吸困难的疾病,different,有泡沫样,other
鸡败血霉形体病,引起呼吸困难的疾病,different,干酪样物质偶尔脸肿大,other
鸡败血霉形体病,引起呼吸困难的疾病,different,较硬,other
鸡传染性支气管,引起呼吸困难的疾病,similar,咳嗽,other
鸡传染性支气管,引起呼吸困难的疾病,similar,打喷嚏,other
鸡传染性支气管,引起呼吸困难的疾病,similar,呼吸困难,symptom
鸡传染性支气管,引起呼吸困难的疾病,similar,怪叫,other
鸡传染性支气管,引起呼吸困难的疾病,different,传播快,epidemiology
鸡传染性支气管,引起呼吸困难的疾病,different,呼吸时发出异常声音,other
鸡传染性支气管,引起呼吸困难的疾病,different,喉头,other
鸡传染性支气管,引起呼吸困难的疾病,different,支气管粘液增多,other
鸡传染性支气管,引起呼吸困难的疾病,different,气管由上自下粘液明显增多,other
鸡传染性支气管,引起呼吸困难的疾病,different,时常会在支气管的三叉口出现栓塞,symptom
鸡传染性支气管,引起呼吸困难的疾病,different,部分病鸡前期的时候在肺部,pathology
鸡传染性支气管,引起呼吸困难的疾病,different,气管的交接出会有白色的黏液状物质,other
鸡传染性支气管,引起呼吸困难的疾病,different,中后期就会变成硬块堵死气管,other
鸡传染性喉气管,引起呼吸困难的疾病,similar,咳嗽,other
鸡传染性喉气管,引起呼吸困难的疾病,similar,打喷嚏,other
鸡传染性喉气管,引起呼吸困难的疾病,similar,呼吸困难,symptom
鸡传染性喉气管,引起呼吸困难的疾病,similar,怪叫,other
鸡传染性喉气管,引起呼吸困难的疾病,different,发病迅速,other
鸡传染性喉气管,引起呼吸困难的疾病,different,张口伸颈,other
鸡传染性喉气管,引起呼吸困难的疾病,different,死亡快,other
鸡传染性喉气管,引起呼吸困难的疾病,different,咳出带血的粘液,other
鸡传染性喉气管,引起呼吸困难的疾病,different,喉头,other
鸡传染性喉气管,引起呼吸困难的疾病,different,气管出血,symptom
鸡传染性喉气管,引起呼吸困难的疾病,different,有大量黏液,other
鸡传染性喉气管,引起呼吸困难的疾病,different,血凝块,other
鸡痘（喉痘型）,引起呼吸困难的疾病,similar,呼吸困难,symptom
鸡痘（喉痘型）,引起呼吸困难的疾病,similar,张口呼吸,other
鸡痘（喉痘型）,引起呼吸困难的疾病,different,呼吸及吞咽困难,other
鸡痘（喉痘型）,引起呼吸困难的疾病,different,窒息死亡,other
鸡痘（喉痘型）,引起呼吸困难的疾病,different,口腔及咽喉部粘膜出现痘疹,symptom
鸡痘（喉痘型）,引起呼吸困难的疾病,different,假膜,other
鸡痘（喉痘型）,引起呼吸困难的疾病,different,混合其他病型,other
鸡痘（喉痘型）,引起呼吸困难的疾病,different,还可见少毛,symptom
鸡痘（喉痘型）,引起呼吸困难的疾病,different,无毛的皮肤处出现痘,symptom
禽流感,引起呼吸困难的疾病,similar,咳嗽,other
禽流感,引起呼吸困难的疾病,similar,呼吸时有啰音,other
禽流感,引起呼吸困难的疾病,similar,怪叫,other
禽流感,引起呼吸困难的疾病,different,呼吸困难,symptom
禽流感,引起呼吸困难的疾病,different,气管有环状出血及分泌物,symptom
禽流感,引起呼吸困难的疾病,different,病禽发烧,other
禽流感,引起呼吸困难的疾病,different,产蛋率下降幅度较大,other
禽流感,引起呼吸困难的疾病,different,软壳蛋多,other
禽流感,引起呼吸困难的疾病,different,有时见输卵管炎,pathology
鸡白痢,引起肺脏、气囊病变的疾病,similar,肺有大小不等,pathology
鸡白痢,引起肺脏、气囊病变的疾病,similar,黄白色坏死结节,pathology
鸡白痢,引起肺脏、气囊病变的疾病,different,多发于2周龄以内的雏鸡,age_feature
鸡白痢,引起肺脏、气囊病变的疾病,different,拉白色糊状粪,other
鸡白痢,引起肺脏、气囊病变的疾病,different,心脏,pathology
鸡白痢,引起肺脏、气囊病变的疾病,different,肝脏也有坏死结节,pathology
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,similar,气囊混浊,pathology
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,similar,增厚,other
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,similar,囊腔内有黄色干酪物,other
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,different,多发于4-8周以内的幼鸡,other
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,different,呼吸困难,symptom
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,different,眶下窦肿胀,symptom
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,different,心脏,pathology
鸡败血性霉形体病,引起肺脏、气囊病变的疾病,different,肝脏无病变,pathology
鸡曲霉菌病,引起肺脏、气囊病变的疾病,similar,气囊上有黄灰色,pathology
鸡曲霉菌病,引起肺脏、气囊病变的疾病,similar,大小不等的坏死结节,pathology
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,多发生雏鸡,age_feature
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,病鸡呼吸困难,symptom
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,胸壁上也有坏死结节,pathology
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,柔软而富有弹性,other
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,内容物呈干酪样,other
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,可见霉菌斑,symptom
鸡曲霉菌病,引起肺脏、气囊病变的疾病,different,镜检可见霉菌菌丝及孢子,symptom
鸡霍乱,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡霍乱,引起肝脏发生病变的疾病,similar,表面布满黄白色针尖大坏死点,pathology
鸡霍乱,引起肝脏发生病变的疾病,different,成年鸡易发,age_feature
鸡霍乱,引起肝脏发生病变的疾病,different,常突然发病,other
鸡霍乱,引起肝脏发生病变的疾病,different,死亡多为壮鸡,other
鸡霍乱,引起肝脏发生病变的疾病,different,心冠脂肪,other
鸡霍乱,引起肝脏发生病变的疾病,different,心外膜有大量出血点,symptom
鸡霍乱,引起肝脏发生病变的疾病,different,十二指肠严重出血,symptom
鸡沙门氏杆菌,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡沙门氏杆菌,引起肝脏发生病变的疾病,similar,表面布满灰白色针尖大坏死点,pathology
鸡沙门氏杆菌,引起肝脏发生病变的疾病,different,多发生于雏鸡,age_feature
鸡沙门氏杆菌,引起肝脏发生病变的疾病,different,青年鸡,age_feature
鸡沙门氏杆菌,引起肝脏发生病变的疾病,different,雏鸡拉白色的糊状粪,age_feature
鸡沙门氏杆菌,引起肝脏发生病变的疾病,different,肺上也有坏死灶,pathology
鸡沙门氏杆菌,引起肝脏发生病变的疾病,different,青年鸡的肝有时呈铜绿色,age_feature
鸡大肠杆菌,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡大肠杆菌,引起肝脏发生病变的疾病,similar,表面有一层灰白色薄膜,other
鸡大肠杆菌,引起肝脏发生病变的疾病,similar,即肝周炎,other
鸡大肠杆菌,引起肝脏发生病变的疾病,different,各个阶段的鸡都易发,other
鸡大肠杆菌,引起肝脏发生病变的疾病,different,有纤维素性心包炎,other
鸡大肠杆菌,引起肝脏发生病变的疾病,different,肝周炎,other
鸡大肠杆菌,引起肝脏发生病变的疾病,different,腹膜炎,other
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,similar,表面,other
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,similar,实质内有黄色,other
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,similar,星芒状的小坏死灶,pathology
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,different,多发生于青年鸡,age_feature
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,different,新开产的母鸡,other
鸡弯曲菌肝炎,引起肝脏发生病变的疾病,different,肝脏被膜下有出血区形成水肿,symptom
鸡组织滴虫病,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡组织滴虫病,引起肝脏发生病变的疾病,similar,表面有圆形,other
鸡组织滴虫病,引起肝脏发生病变的疾病,similar,不规则形状中心凹陷,other
鸡组织滴虫病,引起肝脏发生病变的疾病,similar,周边隆起的溃疡灶,pathology
鸡组织滴虫病,引起肝脏发生病变的疾病,different,多发生于8周龄至四月龄的鸡,age_feature
鸡组织滴虫病,引起肝脏发生病变的疾病,different,一侧盲肠肿大,pathology
鸡组织滴虫病,引起肝脏发生病变的疾病,different,内有香肠状的干酪样凝固栓子,other
鸡组织滴虫病,引起肝脏发生病变的疾病,different,切开呈同心圆状,other
鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病,similar,表面有灰白色肿瘤结节,pathology
鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病,different,多发于6-18周龄的鸡,age_feature
鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病,different,肾等器官也有肿瘤结节,pathology
鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病,different,但法氏囊常萎缩,pathology
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,similar,肝肿大,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,similar,呈黄色,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,similar,质地松软,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,similar,表面有小出血点,symptom
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,多发于成年鸡,age_feature
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,鸡冠,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,肉髯,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,肌肉苍白贫血,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,肝脏出血腹腔内有血凝块,symptom
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,血水,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,腹腔,other
鸡脂肪肝出血综合症,引起肝脏发生病变的疾病,different,肠系粘膜有大量脂肪沉积,other
鸡传染性法氏囊病,引起肾脏病变的疾病,similar,排白色水样粪便肾肿,other
鸡传染性法氏囊病,引起肾脏病变的疾病,similar,有白色尿酸盐沉积,other
鸡传染性法氏囊病,引起肾脏病变的疾病,similar,呈花斑状,other
鸡传染性法氏囊病,引起肾脏病变的疾病,different,3-6周龄雏鸡多发,age_feature
鸡传染性法氏囊病,引起肾脏病变的疾病,different,死亡率高,epidemiology
鸡传染性法氏囊病,引起肾脏病变的疾病,different,法氏囊肿胀,symptom
鸡传染性法氏囊病,引起肾脏病变的疾病,different,出血,symptom
鸡传染性法氏囊病,引起肾脏病变的疾病,different,内有果酱样物,other
鸡传染性法氏囊病,引起肾脏病变的疾病,different,胸部及腿部肌肉出血,symptom
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,similar,排白色水样稀便,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,similar,肾脏肿大,pathology
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,similar,颜色变淡,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,similar,有大量尿酸盐沉积,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,多见于3-10周龄鸡,age_feature
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,两侧肾脏肿胀严重,symptom
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,有尿酸盐沉着,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,质地坚硬,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,死亡率高,epidemiology
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,成年鸡产蛋量下降,age_feature
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,蛋壳粗糙,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,产畸形蛋,other
鸡传染性支气管炎（肾型）,引起肾脏病变的疾病,different,病鸡康复后产蛋量难以恢复到原有水平,epidemiology
痛风,引起肾脏病变的疾病,similar,排白色石灰样稀粪,symptom
痛风,引起肾脏病变的疾病,similar,肾肿,other
痛风,引起肾脏病变的疾病,similar,有大量尿酸盐沉积,other
痛风,引起肾脏病变的疾病,different,肾脏颜色变黄,pathology
痛风,引起肾脏病变的疾病,different,有大量尿酸盐趁着,other
痛风,引起肾脏病变的疾病,different,通常一侧萎缩,other
痛风,引起肾脏病变的疾病,different,另一侧明显肿胀,symptom
痛风,引起肾脏病变的疾病,different,输尿管增粗,other
痛风,引起肾脏病变的疾病,different,有大量白色尿酸盐,other
痛风,引起肾脏病变的疾病,different,有时可见结石,symptom
痛风,引起肾脏病变的疾病,different,心外膜,other
痛风,引起肾脏病变的疾病,different,心包腔肝被膜均见有大量尿酸盐覆盖,other
鸡病毒性肾炎,引起肾脏病变的疾病,similar,肾不肿,other
鸡病毒性肾炎,引起肾脏病变的疾病,similar,稍肿,other
鸡病毒性肾炎,引起肾脏病变的疾病,similar,颜色变淡,other
鸡病毒性肾炎,引起肾脏病变的疾病,similar,呈淡黄色,other
鸡病毒性肾炎,引起肾脏病变的疾病,similar,排白色稀粪,symptom
鸡病毒性肾炎,引起肾脏病变的疾病,different,1日龄鸡最易感染,age_feature
鸡病毒性肾炎,引起肾脏病变的疾病,different,成年鸡呈隐性感染,age_feature
鸡病毒性肾炎,引起肾脏病变的疾病,different,不出现肾炎病变,symptom
鸡病毒性肾炎,引起肾脏病变的疾病,different,内脏可见尿酸盐沉积,symptom
鸡病毒性肾炎,引起肾脏病变的疾病,different,特征性症状是生长发育停滞,symptom
鸡病毒性肾炎,引起肾脏病变的疾病,different,产蛋量下降,other
鸡病毒性肾炎,引起肾脏病变的疾病,different,而蛋品质没有变化,other
