question	answer
雏鸡为什么要断喙? 怎样断？	所谓断喙就是用断喙机或剪刀断掉鸡的喙端, 俗称为"断嘴"。适时断喙有利于加强雏鸡的饲养管理。鸡舍通风不良, 光照过强, 饲养密度过大, 饲粮营养不平衡特别是缺乏动物性蛋白饲料和矿物质等, 均会造成鸡群出现啄羽、啄趾、啄肛等恶癖。恶癖一旦发生, 需要查明原因, 改善饲养管理。但最有效防止恶癖发生的措施是断喙, 而且断喙还能避免雏鸡勾抛饲料, 减少饲料浪费。 (1) 断喙时间和方法 鸡的断喙一般进行2次, 第一次断喙在育雏期内, 时间安排在 $7 \sim 10$ 日龄; 第二次断喙在育成期内, 时间在 $10 \sim 14$ 周龄之间, 目的是对第一次断喙不成功或重新长出的喙进行修整。大、中型鸡场的雏鸡断喙多采用专用的电动断喙器。在电动断喙器(如9QZ型脚踏式断喙机) 上有一个直径为0.44厘米的小孔, 断喙时将喙切除部分插入孔内, 由一块热刀片(815摄氏度) 从上往下切, 接触3秒钟后, 切除与止血工作即行完毕。操作时, 鸡头向刀片方向倾斜, 使上喙比下喙多切些, 切除的部分是上喙从喙端至鼻孔的1/2处, 下喙是喙尖至鼻孔的1/3处, 形成上短下长。 没有断吸器时, 对小日龄雏鸡, 也可选用电烙铁进行断喙。其方法是: 取一块薄铁板, 折弯(折角为90度角) 钉在桌、凳上, 铁板靠上端适当位置钻一圆孔, 圆孔大小依鸡龄而定(以雏鸡喙插入后, 另一端露出上喙1/2为宜), 直径约 $0.40 \sim 0.45$ 厘米(图3- 1); 取功率为 $150 \sim 250$ 瓦(电压220伏) 的电烙铁一把, 顶端磨成坡形(呈刀状)。断喙时, 先将电烙铁通电 $10 \sim 15$ 分钟, 使铬铁尖发红, 温度达到 $800^{\circ} \mathrm{C}$ 以上, 然后操作者左手持鸡, 大拇指顶住鸡头的后侧, 食指轻压鸡咽部, 使之缩舌。中指护胸, 手心握住鸡体, 无名指与小指夹住爪进行固定。同时使鸡 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/36527a1190c80446a15c332fe7ac14c85ca77365121cb58cf8727156d0e67e7c.jpg) 图3-1 简易断喙装置1. 断喙孔 2. 铁板 3. 木桌 头部略朝下, 将鸡喙斜插入 (呈 45 度角) 铁板孔内, 右手持通电的电烙铁, 沿铁板由上向下将露于铁板另一端的雏鸡喙部分切掉 (上喙约切去 1/2, 上下喙呈斜坡状), 其过程应控制在 3 秒钟以内。
怎样安排育雏期的投药和免疫？	雏鸡饲养的好坏, 成活率的高低, 除受饲养管理水平的影响外, 还与疾病的防治密切相关。育雏期间鸡群的常发病和多发病主要有雏鸡白痢、大肠杆菌病、球虫病、禽流感、鸡新城疫、鸡传染性法氏囊病和其他一些呼吸道病及营养缺乏症。雏鸡的免疫与投药, 应结合鸡的品种、种蛋来源、孵化场的孵化条件以及本地区经常流行的疾病等进行综合分析, 科学判定, 制订出合理的投药措施和免疫程序。下列的投药措施和免疫程序可供参考。一般可在雏鸡开饮至 3 日龄, 饮水中加入 $3\% \sim 5\%$ 的葡萄糖或白糖、维生素 C 针剂 (每 100 只用量 20 毫升)、抗菌素 (如青霉素, 4000 单位/只·日), 以防应激, 促进雏鸡卵黄吸收和预防白痢、脐炎及大肠杆菌感染; 1 日龄用马立克氏病疫苗颈背皮下注射接种; $3 \sim 5$ 日龄用传染性支气管炎疫苗 H120 饮水; $7 \sim 8$ 日龄用传染性法氏囊病疫苗滴鼻或饮水; 同时于 $3 \sim 9$ 日龄在饮水中加入 $20 \sim 60$ 毫克/升硫酸粘菌素; $10 \sim 12$ 日龄用新城疫 IV 系苗点眼或滴鼻; $12 \sim 15$ 日龄用 $0.05\% \sim 14\%$ 土霉素拌料; 15 日龄进行禽流感疫苗首免; 15 日龄以后在饲料中间断性添加一些抗球虫药物; $23 \sim 25$ 日龄用传染性法氏囊病疫苗饮水二免; $27 \sim 28$ 日龄用鸡痘疫苗刺种 (成鸡的半量); 30 日龄可用传染性喉气管炎弱毒苗点眼滴鼻; 35 日龄和 45 日龄分别用新城疫 IV 系或 II 系苗和禽流感疫苗进行二免。
怎样安排雏鸡的日常管理？	科学地安排雏鸡的日常管理, 可以更好地适应雏鸡的生物学 特性, 促进生长, 增强体质, 降低成本和提高成活率。在育雏期内, 其日常管理工作应遵循以下细则。①进门换鞋消毒, 注意检查消毒池内的消毒药物是否有效, 是否应该更换或添加。②观察鸡群活动规律, 查看舍内温度计, 检查温度是否合适。③观察鸡群健康状况, 有没有"糊屁股"(多为白痢所致)的雏鸡, 有无精神不振、呆立缩脖、翅膀下垂的雏鸡, 有无腿部患病、站立不稳的雏鸡, 有无大脖子的雏鸡。④仔细观察粪便是否正常, 有无拉稀、绿便或便中带血等异常现象。一般来说, 刚出壳尚未采食的幼雏排出的胎粪为白色和深绿色稀薄液体, 采食以后排出的粪便呈圆柱形、条状, 颜色为棕绿色, 粪便的表面有白色的尿酸盐沉着。拉稀便可能是肠炎所致; 粪便绿色可能是吃了变质的饲料, 或硫酸铜、硫酸锌中毒, 或患鸡新城疫、霍乱、伤寒等病; 粪便棕红色、褐色, 甚至血便, 可能是发生了球虫病; 黄色、稀如水样粪便, 可能是发生某些传染病, 如法氏囊病、马立克氏病。发现异常现象后及时分析原因, 采取相应措施。⑤检查饮水器或水槽内是否有水, 饮水是否清洁卫生。⑥检查垫料是否干燥, 是否需要添加或更换, 垫草有无潮湿结块现象。⑦舍内空气是否新鲜, 有无刺激性气味, 是否需要开窗通气。⑧食槽高度是否适宜, 每只鸡食槽占有位置是否充足, 饲料浪费是否严重。⑨鸡群密度是否合适, 要不要疏散调整鸡群。⑩笼养雏鸡有无跑鸡现象, 并查明跑鸡原因, 及时抓回, 修补笼门或漏洞。⑪检查笼门是否合适, 有无卡脖子现象, 及时调换笼门。⑫及时分出小公鸡, 进行淘汰或肥育。⑬检查光照时间、强度是否合适。⑭检查有无啄癖现象发生, 如有被啄雏鸡, 应及时抓出, 涂上紫药水。⑮按时接种疫苗, 检查免疫效果。⑯抽样检查体重, 掌握雏鸡生长发育状况。⑰病鸡、弱鸡隔离治疗, 加强饲养, 促使鸡群整齐一致。⑱检查用药是否合理, 药片是否磨细, 拌合是否均匀。⑲掌握鸡龄与气温, 确定离温时间, 检查离温后果。⑳加强夜间值班工作, 细听鸡群有无呼吸系统疾病, 鸡群睡觉是否安 静, 防止意外事故发生。
育成鸡有哪些生理特点？	7~20周龄这个阶段叫育成期, 处于这个阶段的鸡叫育成鸡 (也叫青年鸡、后备鸡)。育成鸡仍处于生长迅速、发育旺盛的时期, 尤其是各类器官已发育完善, 机能健全。骨骼和肌肉生长速度比较快, 但体重增长速度不及雏鸡; 机体对钙质的沉积能力有所提高; 羽毛几经脱换, 最终长出了成羽; 随着日龄增加, 蓄积脂肪能力增强, 易引起躯体过肥, 将对其日后产蛋量和蛋壳质量有重要影响; 育成期的中、后期, 生殖系统开始发育至性成熟。若在育成期让鸡自由采食, 供给丰富营养, 特别是喂给高蛋白饲粮, 则会加快性腺发育, 使育成鸡过早开产, 而这类早开产的鸡, 产蛋持久力差, 蛋重少, 总产量不高, 种用价值和经济效益低。若育成鸡饲粮中蛋白质水平适当低一些, 既可使性腺发育正常, 又可促进骨骼生长和增强消化系统的机能。因此, 在育成鸡饲养管理中, 要正确处理好"促"与"抑"的关系。
应怎样合理饲喂育成鸡？	在生产中, 育成鸡应采取限制饲养, 即根据育成鸡的营养特点, 限制其饲料采食量, 适当降低饲料营养水平的一种特殊的饲养措施。其目的是提高饲料利用效率, 控制适时开产, 保证高产、稳产, 提高经济效益。 限制方法有多种, 如限时法、限量法和限质法等。 (1) 限时法 就是通过控制鸡的采食时间来控制采食量, 从而达到控制体重和性成熟的目的。具体分为以下几种: ①每日限喂: 每天喂给一定量的饲料和饮水, 规定饲喂次数和每次采食时间, 此法对鸡的应激较小。有人采用每 $2 \sim 3$ 小时给饲 $15 \sim 30$ 分钟的方法, 能提高饲料转化率。②隔日限喂: 就是喂1天, 停1天, 把2天 (48小时) 的饲料量集中在1天喂给, 给料日将饲 料均匀地撒在料槽内, 停喂日撤去槽中的剩料, 也不给其他食物, 但供足饮水, 尤其热天更不能断水。此法对鸡的应激较大, 可用于体重超标的鸡群限饲, 常用于肉种鸡 $7 \sim 11$ 周龄的限喂。 $③$ 每周限喂: 即每周停喂 1 天或 2 天。停喂两天的做法是: 星期日、星期三停喂, 将一周中限喂料量均衡地在 5 天中喂给。此法既节省了饲料, 又减少应激, 常用于蛋用型鸡育成期的限喂。 (2) 限量法 就是规定鸡群每日、每周或某阶段的饲料用量。在实行限量饲喂时, 蛋用鸡一般喂给正常饲喂的 $80 \% \sim 90 \%$ , 而肉用种鸡只喂给自由采食时的 $60 \% \sim 80 \%$ . 此法易操作, 应用比较普遍, 但饲粮营养必须全价, 不限定鸡的采食时间。 (3) 限质法 就是限制饲粮营养水平, 使某种营养成分低于正常水平, 一般采用的有低能饲粮、低蛋白饲粮、低能低蛋白饲粮、低赖氨酸饲粮等, 从而使鸡生长速度降低, 性成熟延迟。农村粗放养鸡常采用此法。
育成鸡的限制饲养应注意什么？	(1) 定期称测体重, 掌握好给料量 限饲开始时, 要随机抽取 $30 \sim 50$ 只鸡称重并编号, 每周或两周称重一次, 其平均体重与标准体重比较, 10 周龄以内的误差最大允许范围为 $\pm 10 \%$ , 10 周龄以后则为 $\pm 5 \%$ , 超过这个范围说明体重不符合标准要求, 就应适当减少或增加饲料喂量。每次增加或减少的饲料量以 5 克/(只·日) 为宜, 待体重恢复标准后仍按表中所列数量喂给。育成鸡的大致给料标准和体重应达到的范围见表 3-5。 (2) 确定起限时间 目前, 生产中对蛋鸡的限制饲养多从 9 周龄开始, 常采用限量法。 (3) 设置足够的料槽 限饲时必须备足料槽, 而且要布局合理, 防止弱鸡采食太少, 鸡群饥饱不均, 发育不整齐, 要求每只鸡都要有一定的采食位置, 最好留有占鸡数 1/10 左右的余位。 表3-5育成鸡（白壳蛋鸡）7～20周龄体重和给料量 <table><tr><td rowspan="2">周龄</td><td colspan="2">白壳蛋鸡品种</td><td colspan="2">褐壳蛋鸡品种</td></tr><tr><td>每日每只给料(克)</td><td>体重范围(克)</td><td>每日每只给料(克)</td><td>体重范围(克)</td></tr><tr><td>7</td><td>45</td><td>420～520</td><td>50</td><td>560～680</td></tr><tr><td>8</td><td>49</td><td>500～600</td><td>55</td><td>650～790</td></tr><tr><td>9</td><td>52</td><td>570～710</td><td>59</td><td>740～900</td></tr><tr><td>10</td><td>54</td><td>660～820</td><td>63</td><td>830～1 010</td></tr><tr><td>11</td><td>55</td><td>770～930</td><td>67</td><td>920～1 120</td></tr><tr><td>12</td><td>57</td><td>860～1 040</td><td>70</td><td>990～1 220</td></tr><tr><td>13</td><td>59</td><td>940～1 120</td><td>73</td><td>1 070～1 310</td></tr><tr><td>14</td><td>60</td><td>1 010～1 190</td><td>76</td><td>1 130～1 390</td></tr><tr><td>15</td><td>62</td><td>1 070～1 250</td><td>79</td><td>1 200～1 460</td></tr><tr><td>16</td><td>64</td><td>1 120～1 300</td><td>82</td><td>1 260～1 540</td></tr><tr><td>17</td><td>67</td><td>1 160～1 340</td><td>85</td><td>1 320～1 620</td></tr><tr><td>18</td><td>68</td><td>1 190～1 370</td><td>88</td><td>1 390～1 690</td></tr><tr><td>19</td><td>74</td><td>1 210～1 410</td><td>91</td><td>1 450～1 770</td></tr><tr><td>20</td><td>83</td><td>1 260～1 480</td><td>95</td><td>1 500～1 840</td></tr></table> (4) 限饲前应对母鸡断喙, 以防相互啄伤 对公鸡可剪冠, 用于自然交配的公鸡断内侧趾及后趾。 (5) 限饲中特殊情况的处理 限饲过程中, 如果鸡群发病、接种疫苗或转群时, 可暂时停止限饲, 待消除影响后再行限饲。 (6) 应与控制光照相配合 实施限饲时, 要与控光相结合, 效果会更好。 (7) 限饲应以增加总体经济效益为主要宗旨 不能因限饲而加大产品成本, 造成过多的死亡或降低产品质量。如鸡场的饲养条件不好, 育成鸡体重又比标准轻, 切不可进行限制饲养。 (8) 笼养育成鸡的限饲 笼养育成鸡, 控制饲养的技术措施 比较容易实施, 应激较小, 如果管理正常, 可获得 $85\%$ 甚至更高的均匀度。但由于笼养时鸡的运动量减少, 应考虑适当降低饲养标准中的能量含量。另外, 笼养时采取限制时间可适当提前。
育成鸡有哪几种饲养方式？	育成鸡的饲养方式有平养、笼养和网养等多种。 (1) 地面平养 指地面全铺垫料 (稻草、麦秸、锯末、干沙等), 料槽和饮水器均匀地布置在舍内, 各料槽、水槽相距在 3 米以内, 使鸡有充分采食和饮水的机会。这种方式饲养育成鸡较为落后, 稍有条件和经验的养鸡者已不再采用这种方式。 (2) 栅养或网养 指育成鸡养在距地面 60 厘米左右高的木 (竹) 条栅或金属网上, 粪便经栅条之间的间隙或网眼直接落于地面, 有利于舍内卫生和定期清粪。栅上或网上养鸡, 其温度较地面低, 应适当地提高舍温, 防止鸡相互拥挤、打堆, 同时注意分群, 准备充足的料槽、水槽 (或饮水器)。栅上或网上养鸡, 取材方便, 成本较低, 应用广泛。 (3) 栅地结合饲养 以舍内面积 $1 / 3$ 左右为地面, $2 / 3$ 左右为栅栏 (或平网)。这种方式有利于舍内卫生和鸡的活动, 也提高了舍内面积的利用, 增加鸡的饲养只数。这种方式应用不很普遍。 (4) 笼养 指育成鸡养在分层笼内, 专用的育成鸡笼的规格与幼雏笼相似, 只是笼体高一些, 底网眼大一些。分层育成鸡笼一般为 $2 \sim 3$ 层, 每层养鸡 $10 \sim 35$ 只。这种方式应提倡发展。
怎样完成育雏期和育成期两阶段的过渡？	从育雏期到育成期, 饲养管理技术有一系列变化, 这些变化要逐渐进行, 避免突然变化。 (1) 脱温 雏鸡达到 $4 \sim 6$ 周龄以后, 新羽基本长出, 对环境适应能力增强, 要逐步停止给温。一般早春育雏可在 6 周龄左 右离温, 晚春、初夏育雏 3~4 周龄即可离温。但是具体脱温的时间, 还应根据季节性、雏鸡体质状况及外界气温变化等因素灵活掌握。 (2) 上栖架 训练鸡上栖架能减轻潮湿地面对鸡的不良影响, 有利于骨骼、肌肉的正常发育, 避免胸囊肿发生。栖架可用木棍或木条制作, 一般经过几次训练, 每到黄昏鸡即能自动上架。 (3) 转笼或下笼 笼育的雏鸡进入育成期后, 可转入育成鸡笼或者改为地面平养, 这就需要下笼。刚下笼时鸡不太习惯, 容易引起密集挤堆, 因此需要仔细观察鸡群 (特别在夜间), 防止因挤堆而造成伤亡。 (4) 更换日粮 由于育雏期和育成期鸡生理特点不同, 对日粮的需求也不一样, 特别是蛋白质在日粮中的比例, 育成期要比育雏期低, 所以在过渡期后要更换日粮。更换日粮不能突然改变, 要逐渐进行, 以便逐渐适应。
怎样给育成鸡配合日粮？	在育成期的主要任务是培育健康、匀称、体重符合正常生长曲线的鸡群, 以保证适时开产。因此, 在生产中必须充分重视育成鸡的饲粮配合。根据育成鸡的发育特点, 其营养需要与雏鸡有较大区别, 饲料中蛋白质和能量水平都应降低, 尤其是蛋白质水平应比雏鸡低得多, 且随鸡的体重增加而减少。否则, 育成鸡会大量积聚脂肪而过肥, 同时过早性成熟, 进而影响以后的产蛋量。因此, 在日粮配方中, 粗蛋白质的含量, 可从育雏期的 $18\% \sim 19\%$ 逐渐减少为 $15\% \sim 16\%$ 。同时降低饲粮中的能量浓度。配合饲粮时, 可选用稻糠、麦麸等低能饲料替代一部分玉米等高能饲料, 以利于锻炼胃肠, 提高对饲料的消化能力, 使育成鸡有一个良好的体况。下面介绍几个育成鸡日粮配方 (表 3- 6) 供参考。 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/327e214d4b6c8d51f6c4629211dbb2e7ef14e8727b891727f88004a9d708250f.jpg)
怎样掌握适宜的光照制度？	鸡育成期每天的光照时间要保持恒定或稍减少,不能增加。因为光照时间过长或逐渐增加,会使鸡提前性成熟,过早开产的鸡,产蛋持续期短,蛋重小,产蛋率低。因此,合适的光照制度是使鸡群适时开产、提高产蛋量的重大技术保障之一,必须运用得当,严格执行。密闭式鸡舍内的鸡群,可完全利用人工光照。方法是:雏鸡1周龄以内,每天光照 $23\sim 24$ 小时,2周龄至 $18\sim 20$ 周龄每天保持光照8小时。 开放式鸡舍内的鸡群,可以充分利用自然光照。但自然光照的时间各地随季节不同有很大的变化,所以要维持育成鸡对光照的需要,就要根据不同季节的自然规律,制定人工补光的管理制度。 我国绝大部分地区位于北纬 $20\sim 45^{\circ}$ ,一般冬至前后日照时间较短,以后逐渐延长。到夏至前后,日照时间较长,从夏至到冬至又逐渐缩短。因此, $4\sim 8$ 月间孵出的鸡,育成后期处于日照渐短时期,放到20周龄时,只要利用自然光照即可满足其需要。9月底至翌年3月孵出的鸡,其育成后期处于日照渐长时期,若完全利用自然光照,通常会刺激母雏过早性成熟。为防止这种情况的产生,应控制光照时间,通常可采用人工补充光照。其具体方法是:先查出本批鸡达到20周龄(种鸡22周龄)的昼长时数(如为11小时),然后加7小时作为出壳后第4天的光照时间(18小时),以后每周减少光照20分钟,直到21周龄(种鸡23周龄)逐渐过渡到产蛋鸡的光照制度。光照强度以 $5\sim 10$ 勒克司为宜,即每平方米鸡舍安装 $2\sim 3$ 瓦电灯,灯泡高度距地面2米。
怎样做好育成鸡免疫接种和驱虫工作？	为保证育成鸡正常生长发育,使之健康而无潜在疫病进入产 蛋期,一般在育成鸡 $60 \sim 65$ 日龄进行鸡新城疫 I 系疫苗接种;在 $70 \sim 80$ 日龄进行鸡痘疫苗接种;在 $100 \sim 110$ 日龄进行禽霍乱菌苗和鸡新城疫 I 系疫苗接种;在 $110 \sim 130$ 日龄进行禽流感加强免疫和鸡减蛋综合症油佐剂灭活苗接种;在鸡群开产前还要进行驱虫和灭虱、灭螨。
育成鸡如何转群？	由于鸡的品种、品系不同,其性成熟有早有晚,当然鸡转群的时间亦有前后,一般性成熟早的在 $17 \sim 18$ 周龄就应转群,晚的可在 20 周龄转群、褐壳蛋鸡最晚不超过 22 周龄转群。转群过早、过晚均不利,过早转群,鸡体过小,会从笼网空隙钻出,到外乱跑,管理不便;过晚转群,由于鸡群临近或已经开产,会使鸡的体质受到削弱而影响产蛋,造成鸡群不能适时达到应有的产蛋高峰,使年产蛋量受到影响。 转群前应搞好产蛋鸡舍内的清扫、消毒,安装好供料、供水、照明、通风等设备,并保证正常运转。 转群时要检查鸡群,淘汰病、弱、小、瘫、瘸、瞎眼或伤残鸡。注意检查鸡喙,遇到漏断或断喙不良的,应重新断喙或修剪。捉鸡时应减弱照明或夜间进行,捉放鸡的动作要轻,应捉鸡腿,不可捉鸡颈或双翅。做好鸡的计数工作,以便喂料和计算产蛋率。 转群后最初 $2 \sim 3$ 天连续照明 23 小时,使育成转群的鸡能找到饲槽和饮水器。转群鸡由于受到环境变化的应激,容易引起挤压,造成伤亡,应注意看护。
蛋鸡多少日龄产蛋合适？	母鸡开产日龄也叫性成熟期,即母鸡长到开始产蛋的日龄,通常商品鸡群以全群产蛋率达 $50\%$ 的日龄(目前趋于 $5\%$ )作为该鸡群的开产日龄。 开产日龄的长短与鸡的品种、品系、孵化季节和饲养管理条件等因素有关。在正常的饲养管理条件下, 不同类型鸡种的适宜开产日龄是: 商品蛋鸡 (轻, 中型) 为 $150 \sim 160$ 日龄; 蛋用种鸡 (轻、中型) 为 $160 \sim 170$ 日龄; 肉用种鸡为 $170 \sim 180$ 日龄。
育成鸡的管理要点有哪些？	(1) 育成期前的准备 ①鸡舍和设备: 转群前必须做好育成鸡舍的准备, 如鸡舍的维修、清刷、消毒等, 准备充足的料槽和水槽。②淘汰病弱鸡: 在转群过程中, 挑选健康无病、发育匀称, 外貌符合本品种要求的鸡只转入育成鸡舍, 淘汰病弱鸡、残鸡及外貌不符合本品种要求的鸡只。 (2) 精心转群过渡 笼育或网育雏鸡进入育成期后, 有的需要下笼改为地面平养, 以便加强运动; 有的需要转入育成鸡笼, 以便于加强管理。转群后必须提供采食、饮水的良好环境, 注意观察鸡群, 尤其是在夜间要加强值班, 防止意外事故的发生。 (3) 保持适宜的饲养密度 育成鸡无论是平养还是笼养, 都要保持适宜的饲养密度, 才能使鸡只个体发育均匀。育成鸡的饲养密度见表 3-7 和表 3-8。 表3-7 育成鸡在垫料上的密度 <table><tr><td>品系和性别</td><td>每平方米容鸡数（只）</td></tr><tr><td>白壳蛋系蛋用母鸡</td><td></td></tr><tr><td>到18周龄</td><td>8.3</td></tr><tr><td>到22周龄</td><td>6.2</td></tr><tr><td>褐壳蛋系蛋用母鸡</td><td></td></tr><tr><td>到18周龄</td><td>6.3</td></tr><tr><td>到22周龄</td><td>5.4</td></tr><tr><td>白壳蛋系种用母鸡</td><td>5.4</td></tr><tr><td>白壳蛋系种用公鸡</td><td>5.4</td></tr></table> <table><tr><td>品系和性别</td><td>每平方米容鸡数（只）</td></tr><tr><td>褐壳蛋系种用母鸡</td><td>4.9</td></tr><tr><td>褐壳蛋系种用公鸡</td><td>4.3</td></tr></table> 注:栅养时所需面积为地面平养的 $60\%$ ;栅养与平养结合时,为地面平养的 $75\%$ 。 表3-8笼养育成鸡密度 <table><tr><td>品种类型</td><td>每只鸡所需面积（厘米²）</td></tr><tr><td>白壳蛋系蛋用母鸡</td><td></td></tr><tr><td>到14周龄</td><td>232</td></tr><tr><td>到18周龄</td><td>290</td></tr><tr><td>到22周龄</td><td>389</td></tr><tr><td>褐壳蛋系蛋用母鸡</td><td></td></tr><tr><td>到14周龄</td><td>277</td></tr><tr><td>到18周龄</td><td>355</td></tr><tr><td>到22周龄</td><td>484</td></tr></table> 对群养育成鸡还要进行分群,防止群体过大而不便管理,每群以不超过500只为宜。 (4)控制性成熟 育成鸡过早或过迟性成熟,均不利于以后产蛋力的发挥。性成熟过早,就会早开产,产小蛋,持续高产时间短,出现早衰,产蛋量减少。但性成熟过晚,则将推迟开产时间,产蛋量减少。因此,要合理控制育成鸡的性成熟,做到适时开产。 控制育成鸡性成熟的方法主要有两个方面。一是限制饲养,二是控制光照。关键是要把限制饲养与光照管理结合起来,只强调某个方面不会取得很好的效果。按限制饲养管理,鸡的体重符合标准,但延迟了开产日龄,原因是光照时间不足,体重较轻;如果增加光照时间,而忽视了饲料的营养和给量,达不到标准体 重,结果是开产蛋重小,产蛋高峰期延迟。 (5)合理设置料槽和水槽育成期的料槽位置,每只鸡为8厘米左右,水槽的位置为料槽的一半。料槽、水槽在舍内要均匀分布,相互之间的距离不应超过3米。其高度要经常调整,使之与鸡背的高度基本一致。 (6)加强通风通风的目的,一是保持舍内空气新鲜,给育成鸡提供所需要的氧气,排除舍内的二氧化碳、氨气等污浊气体;二是降低舍内气温;三是排除舍内过多的水分,降低舍内湿度。开放式鸡舍要注意打开门、窗通风,封闭式鸡舍要加强机械通风。 (7)添喂砂砾为提高育成鸡的胃肠消化机能及饲料利用率,育成期内有必要添喂砂砾,沙砾的直径以 $2\sim 3$ 毫米为宜。添喂方法:可将砂砾拌入饲料喂给,也可以单独放入砂槽内饲喂。砂砾要求清洁卫生,最好用清水冲洗干净,再用 $0.1\%$ 的高锰酸钾水溶液消毒后使用。 (8)避免啄癖笼养育成鸡容易发生啄癖。为减少啄癖造成的损失,一定要做好笼养鸡的断喙工作。鸡群出现啄癖后,要及时分析原因,并采取针对性措施,消除发病因素。 (9)预防疾病由于育成鸡饲养密度大,要注意及时清除粪便,保持环境卫生,加强防疫,做好疫苗接种和驱虫工作。一般在育成鸡 $70\sim 90$ 日龄进行鸡城疫I系系疫苗接种,每年 $6\sim 7$ 月份进行一次鸡痘疫苗接种,在 $120\sim 130$ 日龄进行驱虫、灭虱。
产蛋鸡有哪些生理特点？	(1)刚开产的母鸡虽然已达到性成熟,开始产蛋,但机体还没有发育完全,未达到体成熟18周龄体重仍在继续增长,到40周龄时生长发育基本停止,体重增长极少。40周龄后体重增加多为脂肪积蓄。 (2)产蛋鸡对环境变化非常敏感产蛋期间饲料配方突然变 化, 饲喂设备更换, 环境温度、通风、光照、密度的改变, 饲养人员和日常管理程序的变换以及其他应激因素都会对蛋鸡产生不良影响。 (3) 不同周龄的产蛋鸡, 对营养物质的利用率不同 母鸡刚达性成熟时 (17~18 周龄), 成熟的卵巢释放雌性激素, 使母鸡储钙能力显著增强。开产至产蛋高峰时期, 鸡对营养物质的消化吸收能力增强, 采食量持续增加; 到产蛋后期消化吸收能力减弱, 脂肪沉积能力增强。
笼养产蛋鸡有哪些优点？	笼养产蛋鸡是目前生产中应用最普遍的一种饲养方式, 具有平养无法比拟的优点。 (1) 饲养密度大, 在相同面积的鸡舍内比平养多养 3~5 倍的鸡只, 因而节省房舍和土地。 (2) 鸡在笼内饲养, 便于防疫。 (3) 管理方便, 省工, 劳动生产率高。 (4) 环境条件容易控制, 鸡群生长均匀, 产蛋率高而稳定。 (5) 容易观察鸡群和淘汰不良鸡只, 确保鸡群健康高产。 (6) 鸡只不与地面接触, 患寄生虫病少, 可节省用药费用。 (7) 舍内不必铺设垫料, 可节省垫料开支。 (8) 鸡舍干净, 环境卫生, 鸡蛋不受粪便污染, 提高了产品质量。 (9) 鸡的活动受到限制, 饲料消耗少, 转化率高, 经济效益好。 至于笼养鸡易发生营养缺乏症、脂肪肝综合症、产蛋疲劳症、胸部囊肿和骨骼脆而易折等缺点, 通过改善饲养管理和笼体材料等办法, 均能得到不同程度的改善。
